年分,地區,姓名,推薦政黨,得票數,得票率,當選
107,澎湖縣,賴峰偉,中國國民黨,"20,570",38.87%,*
107,澎湖縣,陳光復,民主進步黨,"17,347",32.78%, 
107,澎湖縣,呂華苑,無黨籍及未經政黨推薦,468,0.88%, 
107,連江縣,蘇柏豪,樹黨,927,12.51%, 
107,連江縣,朱秀珍,無黨籍及未經政黨推薦,"1,284",17.33%, 
107,連江縣,魏耀乾,無黨籍及未經政黨推薦,336,4.53%, 
107,連江縣,劉增應,中國國民黨,"4,861",65.61%,*
107,金門縣,楊鎮浯,中國國民黨,"23,520",47.77%,*
107,金門縣,洪志恒,金門高粱黨,832,1.69%, 
107,金門縣,汪承樺,教科文預算保障e聯盟,403,0.81%, 
107,金門縣,陳福海,無黨籍及未經政黨推薦,"22,719",46.14%, 
107,金門縣,謝宜璋,無黨籍及未經政黨推薦,"1,389",2.82%, 
107,金門縣,洪和成,無黨籍及未經政黨推薦,366,0.74%, 
107,基隆市,謝立功,中國國民黨,"86,529",45.85%, 
107,基隆市,林右昌,民主進步黨,"102,167",54.14%,*
107,新竹市,謝文進,無黨籍及未經政黨推薦,"44,101",20.31%, 
107,新竹市,李驥羣,無黨籍及未經政黨推薦,705,0.32%, 
107,新竹市,黃源甫,無黨籍及未經政黨推薦,"3,603",1.65%, 
107,新竹市,許明財,中國國民黨,"60,508",27.87%, 
107,新竹市,郭榮睿,無黨籍及未經政黨推薦,574,0.26%, 
107,新竹市,林智堅,民主進步黨,"107,612",49.56%,*
107,嘉義市,蕭淑麗,無黨籍及未經政黨推薦,"25,572",17.98%, 
107,嘉義市,黃敏惠,中國國民黨,"58,558",41.17%,*
107,嘉義市,黃宏成台灣阿成世界偉人財神總統,無黨籍及未經政黨推薦,"1,822",1.28%, 
107,嘉義市,涂醒哲,民主進步黨,"56,256",39.55%, 
